expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
温める,あたためる,"to warm, to heat",JLPT JLPT_2 JLPT_3,nR%K+*);#2,"ทำให้ร้อน, ทำให้อุ่น, อุ่นเครื่อง, เติมอุ่น",コーヒーを温める。,อุ่นกาแฟ
辺り,あたり,"vicinity, nearby",Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_2 JLPT_3,Nhf6;`GIs6,"บริเวณใกล้เคียง, ใกล้เคียง, รอบข้าง, แถวๆ",この辺りに店がありますか。,มีร้านค้าแถวๆ นี้ไหมครับ/คะ
当たり前,あたりまえ,"usual, common, obvious",JLPT JLPT_2 JLPT_3,"F|qH}g,OWJ","ปกติ ทั่วไป ชัดเจน, เป็นธรรมดา, คุ้นเคย, เป็นเรื่องปกติ",これは当たり前のことだ。,นี่เป็นเรื่องธรรมดา
当たる,あたる,"to be hit, to be successful",JLPT JLPT_2 JLPT_3,c~5${Vgwlg,"ถูกโจมตี, ประสบความสำเร็จ, โดน, ได้ผล",くじが当たった！,ถูกลอตเตอรี่!
あちこち,あちこち,here and there,JLPT JLPT_2 JLPT_3,zllf&_UO$c,"ที่นี่และที่นั่น, ทุกหนทุกแห่ง, หลายแห่ง, ไปทั่ว",あちこち旅行しました。,เดินทางท่องเที่ยวไปหลายที่
扱う,あつかう,"to treat, to handle, to deal with",Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2 JLPT_3,"o08cD,?4sA","เพื่อรักษา เพื่อจัดการ เพื่อรับมือกับ, ปฏิบัติ, ทำ, บริหาร",この問題は扱えません。,ฉันไม่สามารถจัดการปัญหานี้ได้
集まり,あつまり,"gathering, meeting, collection",JLPT JLPT_2 JLPT_3,jBK/@[g6Hm,"การรวมตัว การประชุม การรวบรวม, ชุมนุม, สังสรรค์, การรวมกลุ่ม",友達が集まりました。,เพื่อนๆ มารวมตัวกัน
当てる,あてる,to hit; to apply to,JLPT JLPT_2 JLPT_3,z-r@1e!?]p,"ตี; ใช้กับ, ชน, ประยุกต์ใช้, นำไปใช้",的を当てる。,ยิงให้โดนเป้า
跡,あと,trace; remains; scar,JLPT JLPT_2 JLPT_3,q{EbQ0$xa;,"ร่องรอย; ซาก; แผลเป็น, รอย, รอยแผล, เค้าเงื่อน",足跡が残っている。,ยังมีรอยเท้าอยู่
穴,あな,hole,JLPT JLPT_2 JLPT_3,J_{zaxL58i,"รู, ช่อง, โพรง, ปากรู",壁に穴が開いています。,มีรูบนผนัง
油,あぶら,oil,JLPT JLPT_2 JLPT_3,h++g*X+)DT,"น้ำมัน, น้ำมันเชื้อเพลิง, ไขมัน, น้ำมันหล่อลื่น",車の油を入れます。,เติมน้ำมันรถ
脂,あぶら,fat,JLPT JLPT_2 JLPT_3,yaI6J=&24M,"อ้วน, ไขมัน, ความอ้วน, พี",この肉は脂が多い。,เนื้อนี้มีไขมันเยอะ
誤り,あやまり,error,JLPT JLPT_2 JLPT_3,Q&O=zHLH43,"ข้อผิดพลาด, ความผิดพลาด, ผิดพลาด, ความคลาดเคลื่อน",計算に誤りがありました。,มีการคำนวณผิดพลาด
粗,あら,"defect, flaw, fault",JLPT JLPT_2 JLPT_3,uo3L]S3}+n,"ข้อบกพร่อง, ความผิดพลาด, ความผิดปกติ, ตำหนิ",粗を探す。,หาข้อบกพร่อง
嵐,あらし,storm,JLPT JLPT_2 JLPT_3,"x>[,-C/.7:","พายุ, วาตภัย, มรสุม, ลมพายุ",嵐が来ています。,กำลังมีพายุ
争う,あらそう,"to dispute, to argue, to fight",JLPT JLPT_2 JLPT_3,gCt~zB/0M*,"โต้แย้ง, ทะเลาะวิวาท, ต่อสู้, ขัดแย้ง",二人はいつも争っている。,ทั้งสองคนทะเลาะกันตลอด
新た,あらた,"new, fresh",JLPT JLPT_2 JLPT_3,vUk>5+m4>^,"ใหม่ สด, ใหม่เอี่ยม, แปลกใหม่, สดใหม่",新しい生活が新たに始まる。,ชีวิตใหม่เริ่มต้นขึ้นใหม่อย่างสดใส
あらゆる,あらゆる,"all, every",JLPT JLPT_2 JLPT_3,fRH=B?!]8k,"ทั้งหมด ทุกๆ, ทั้งปวง, ทุกสิ่ง, สารพัด",あらゆる可能性を考える。,คิดถึงทุกความเป็นไปได้
表す,あらわす,"to express, to show",JLPT JLPT_2 JLPT_3,J4D9:Mg)~^,"เพื่อแสดงออก เพื่อแสดงให้เห็น, แสดง, เผย, บ่งบอก",喜びを表す。,แสดงความยินดี
現す,あらわす,"to show, to appear, to reveal",JLPT JLPT_2 JLPT_3,"J};,Fjv6&g","แสดงให้เห็น, ปรากฏให้เห็น, เปิดเผย, ทำให้ปรากฏ",突然、幽霊が現れた。,ทันใดนั้น ผีก็ปรากฏตัวขึ้น
著す,あらわす,"to write, to publish",JLPT JLPT_2 JLPT_3,A}kQPl<:b_,"เพื่อเขียน เพื่อตีพิมพ์, แต่ง, ประพันธ์, พิมพ์",彼は本を著した。,เขาได้เขียนหนังสือเล่มหนึ่ง
現れ,あらわれ,"expression, indication, sign",JLPT JLPT_2 JLPT_3,wIR$)+P>p),"การแสดงออก, การบ่งชี้, สัญลักษณ์, สิ่งที่ปรากฏ",これは彼の努力の現れだ。,นี่คือผลจากการพยายามของเขา
現れる,あらわれる,"to appear (v.i.), to become visible; to express",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,uNu]Gn1cS@,"ปรากฏ (กริยาไม่ต้องการกรรม) ทำให้มองเห็นได้; แสดงออก, ปรากฏขึ้น, สำแดง, โผล่",山に雪が現れる。,หิมะปรากฏบนภูเขา
ありがとう,ありがとう,Thank you,JLPT JLPT_2 JLPT_3,"BCk,]QT,C;","ขอบคุณ, ขอบใจ, ซาบซึ้ง, เป็นพระคุณ",ありがとう、助かりました。,ขอบคุณครับ/ค่ะ ช่วยได้มากเลย
在る; 有る,ある,"to live, to be, to exist",JLPT JLPT_2 JLPT_3,ugXsXN3GZ/,"เพื่อที่จะมีชีวิตอยู่ เพื่อที่จะดำรงอยู่ เพื่อที่จะมีอยู่, มีชีวิต, ดำรงอยู่, ยังคงอยู่",ここに問題がある。,มีปัญหาอยู่ที่นี่
或,ある,"a certain..., some...",JLPT JLPT_2 JLPT_3,fPA~S.(r2^,"บางอย่าง... บางอย่าง..., จำนวนหนึ่ง, บางชนิด, บางที",或人が訪ねてきました。,มีคนมาเยี่ยม
あるいは,あるいは,"or, perhaps",JLPT JLPT_2 JLPT_3,GpvtMObv5I,"หรือบางที, หรือไม่ก็, เป็นไปได้ว่า, อาจจะ",コーヒーか、あるいは紅茶にしますか。,จะรับกาแฟ หรือว่าชาครับ/คะ
アルバム,アルバム,album,JLPT JLPT_2 JLPT_3,LY~;26p.Bn,"อัลบั้ม, แฟ้มภาพ, สมุดภาพ, อัลบั้มเพลง",写真のアルバムを作ります。,ทำอัลบั้มรูปถ่าย
泡,あわ,"bubble, foam",JLPT JLPT_2 JLPT_3,xuN<Cc$=0q,"ฟอง, โฟม, ฟองอากาศ, ฟองสบู่",ビールに泡がたくさんある。,เบียร์มีฟองเยอะ
合わせる,あわせる,to combine,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,I=R#`?=:d[,"เพื่อรวมกัน, รวม, ผสม, ประกอบ",二つの色を合わせる。,ผสมสองสีเข้าด้วยกัน
慌てる,あわてる,to become confused、to panic,JLPT JLPT_2 JLPT_3,QKvMMW7GPN,"เกิดความสับสน ตื่นตระหนก, สับสน, ลนลาน, ตกใจ",慌てないでください。,กรุณาอย่าตื่นตกใจ
哀れ,あわれ,"helpless, pity, pathetic",JLPT JLPT_2 JLPT_3,Di(vg]NB]7,"หมดหนทาง น่าสงสาร น่าเวทนา, อนาถา, น่าสมเพช, น่าสังเวช",その姿は哀れだった。,สภาพการณ์นั้นน่าเวทนา
案,あん,"plan, scheme, proposal",JLPT JLPT_2 JLPT_3,wa#Lw#FwSj,"แผน, โครงการ, ข้อเสนอ, แผนการ",新しい案があります。,มีแผนใหม่
案外,あんがい,unexpectedly,JLPT JLPT_2 JLPT_3,c{:][-]9cx,"โดยไม่คาดคิด, อย่างไม่คาดฝัน, เหนือความคาดหมาย, ประหลาดใจ",案外、簡単でした。,ไม่น่าเชื่อว่ามันง่าย
暗記,あんき,"memorization, learning by heart",JLPT JLPT_2 JLPT_3,J|(sO>=G;),"การท่องจำ การเรียนรู้โดยการท่องจำ, จำขึ้นใจ, ท่อง, จดจำ",単語を暗記します。,ท่องจำคำศัพท์
安定,あんてい,"stability, equilibrium",JLPT JLPT_2 JLPT_3,tq=A(a}mBR,"ความเสถียร สมดุล, มั่นคง, คงที่, เสถียรภาพ",経済の安定が重要だ。,ความมั่นคงทางเศรษฐกิจเป็นสิ่งสำคัญ
あんなに,あんなに,"to that extent, to that degree",JLPT JLPT_2 JLPT_3,qL7ozV1EL!,"ในระดับนั้น ในระดับนั้น, ถึงเพียงนั้น, มากขนาดนั้น, เพียงนั้น",あんなに暑いのは初めてです。,ร้อนขนาดนั้นเป็นครั้งแรก
あんまり,あんまり,"not very, not much",JLPT JLPT_2 JLPT_3,nQM2*X0Uly,"ไม่มาก ไม่เยอะเลย, น้อย, เล็กน้อย, ไม่ค่อย",あまり食べられません。,กินไม่ค่อยได้
胃,い,stomach,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,J;|<l]nldO,"ท้อง, กระเพาะ, พุง, ช่องท้อง",胃が痛いです。,ปวดท้อง
委員,いいん,committee member,JLPT JLPT_2 JLPT_3,"yw,e]%D0#","กรรมการ, คณะกรรมการ, สมาชิกคณะกรรมการ, อนุกรรมการ",彼は委員です。,เขาเป็นกรรมการ
意外,いがい,"unexpected, surprising",JLPT JLPT_2 JLPT_3,w~HVZz5(Yv,"ไม่คาดคิด น่าประหลาดใจ, เหลือเชื่อ, ไม่น่าเชื่อ, เหนือความคาดหมาย",意外な結果だった。,ผลลัพธ์ไม่คาดคิด
行き,いき,going,JLPT JLPT_2 JLPT_3,sv:5&WPn~-,"กำลังไป, เดินทาง, การไป, การเคลื่อนที่",東京行きです。,ไปโตเกียว
行き,ゆき,going,JLPT JLPT_2 JLPT_3,Qo3!wH.:.8,"กำลังไป, เดินทาง, การไป, การเคลื่อนที่",大阪行きの電車はどれですか。,รถไฟไปโอซาก้าขบวนไหนครับ/คะ
息,いき,breath,JLPT JLPT_2 JLPT_3,Mg6)U{FFzO,"ลมหายใจ, การหายใจ, ลมปาก, ชีวิต",息を吸って、吐きます。,หายใจเข้า แล้วหายใจออก
勢い,いきおい,"force, vigor, momentum",JLPT JLPT_2 JLPT_3,b/)jjg52IA,"แรง, พลัง, โมเมนตัม, พละกำลัง",勢いがすごい。,แรงส่งนั้นน่าทึ่ง
生き物,いきもの,"living thing, creature",JLPT JLPT_2 JLPT_3,cJD+|G`QOg,"สิ่งมีชีวิต, สัตว์, สัตว์โลก, สรรพสัตว์",生き物は大切にしましょう。,มาทะนุถนอมสิ่งมีชีวิตกันเถอะ
いけない,いけない,"must not do, bad, wrong",JLPT JLPT_2 JLPT_3,rH~_kL3NSH,"ห้ามทำ ไม่ดี ผิด, ไม่ถูกต้อง, ไม่เหมาะสม, ไม่ควร",それはしてはいけない。,สิ่งนั้นห้ามทำ
医師,いし,"doctor, physician",JLPT JLPT_2 JLPT_3,L]3urgx$u7,"หมอ, แพทย์, นายแพทย์, ผู้รักษา",医者が診察します。,หมอทำการตรวจ
意思,いし,"intention, purpose",JLPT JLPT_2 JLPT_3,GeK4#dpi2R,"เจตนา จุดประสงค์, ความตั้งใจ, ความมุ่งหมาย, ความประสงค์",彼の意思は固い。,ความตั้งใจของเขามั่นคง
意志,いし,"will, volition",JLPT JLPT_2 JLPT_3,F^=nB=4_Bt,"เจตจำนง, ความตั้งใจ, ความประสงค์, ปณิธาน",強い意志を持つ。,มีความตั้งใจที่แข็งแกร่ง
維持,いじ,"maintenance, preservation",JLPT JLPT_2 JLPT_3,NkxQSQGjpb,"การบำรุงรักษา การอนุรักษ์, การดูแล, การรักษา, การคงสภาพ",平和を維持する。,รักษาสันติภาพ
意識,いしき,"consciousness, senses",JLPT JLPT_2 JLPT_3,B.j@@N??C@,"สติสัมปชัญญะ ประสาทสัมผัส, สติ, ความรู้สึกตัว, การรับรู้",意識を失った。,หมดสติไป
異常,いじょう,"strangeness, abnormality, disorder",JLPT JLPT_2 JLPT_3,O08lYk-IK<,"ความแปลกประหลาด ความผิดปกติ ความไม่เป็นระเบียบ, ความวิปริต, ความไม่ปกติ, ความไม่ชอบมาพากล",異常な現象が起きた。,เกิดปรากฏการณ์ที่ผิดปกติขึ้น
意地悪,いじわる,"malicious, mean, unkind",JLPT JLPT_2 JLPT_3,Q2_n%:>L!6,"มุ่งร้าย ใจร้าย ใจร้าย, โหดร้าย, ชั่วร้าย, ไม่เมตตา",意地悪しないでください。,อย่าแกล้งกันนะ
泉,いずみ,"spring, fountain",JLPT JLPT_2 JLPT_3,l*ms=cUi*A,"บ่อน้ำพุ, น้ำพุ, ตาน้ำ, บ่อน้ำ",泉から水が出ています。,มีน้ำไหลออกมาจากน้ำพุ
いずれ,いずれ,"where, which, who",JLPT JLPT_2 JLPT_3,tyll~{/>;},"ที่ไหน ซึ่ง ใคร, อย่างใดอย่างหนึ่ง, บางคน, ไม่ว่าที่ไหน",いずれまた会いましょう。,ไว้เจอกันอีกครั้งนะครับ/คะ
以前,いぜん,in the past; before,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,vzioeTDgh&,"ในอดีต; ก่อนหน้านี้, เมื่อก่อน, แต่ก่อน, ที่ผ่านมา",以前、ここに住んでいました。,เมื่อก่อน ฉันเคยอยู่ที่นี่
板,いた,"board, plank",JLPT JLPT_2 JLPT_3,rTsp9B=&#y,"กระดาน, แผ่นไม้, ไม้กระดาน, ไม้แผ่น",机の板が割れている。,แผ่นไม้ของโต๊ะแตก
偉大,いだい,greatness,JLPT JLPT_2 JLPT_3,Dj58mSmcXd,"ความยิ่งใหญ่, ความมหัศจรรย์, ความเลิศเลอ, ความยิ่งยง",偉大な歴史がある。,มีประวัติศาสตร์อันยิ่งใหญ่
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,bnBW}<VC5Y,"ถือ (กริยา) (สำนวนเขียน), โอบกอด, ให้ที่พักพิง, กอด",夢を抱く。,มีความฝัน
いたずら,いたずら,"trick, practical joke",JLPT JLPT_2 JLPT_3,GffoWqmg)Q,"กลอุบาย, การเล่นตลก, ความซุกซน, การก่อกวน",子供がいたずらをした。,เด็กน้อยก่อเรื่องซุกซน
いただきます,いただきます,expression of gratitude before meals,JLPT JLPT_2 JLPT_3,jhTihku]b|,"การแสดงความขอบคุณก่อนรับประทานอาหาร, ขอรับประทาน, จะทานแล้วนะ, ทานละนะ",いただきます。,ขอรับประทาน (อาหาร)
痛み,いたみ,"pain, ache, sore",JLPT JLPT_2 JLPT_3,fCH])@V^N},"ปวด เจ็บ ปวดเมื่อย, ความเจ็บปวด, ความปวด, ความทรมาน",頭が痛いです。,ปวดหัว
至る,いたる,"to come, to arrive",JLPT JLPT_2 JLPT_3,go_hN=pqmn,"มาถึง, บรรลุ, ถึง",目的地に至る。,ไปถึงจุดหมายปลายทาง
市,いち,"market, fair",JLPT_1 JLPT JLPT_2 JLPT_3,b}j[=OS2%d,"ตลาด, งานแสดงสินค้า, งานรื่นเริง, งานเทศกาล",市場で買い物をします。,ไปซื้อของที่ตลาด
位置,いち,"place, position",JLPT JLPT_2 JLPT_3,rRL{bp[klU,"สถานที่, ตำแหน่ง, ทำเล, จุด",その位置に座ってください。,กรุณาไปนั่งที่ตำแหน่งนั้น
一時,いちじ,"for a time, temporarily",JLPT JLPT_2 JLPT_3,rZn?lv+;:4,"ชั่วระยะเวลาหนึ่ง ชั่วคราว, ช่วงหนึ่ง, ครู่เดียว, พักหนึ่ง",一時休憩します。,พักสักครู่
一度に,いちどに,all at once,JLPT JLPT_2 JLPT_3,AK)V=Yq3mS,"พร้อมกันทั้งหมด, พร้อมกันทีเดียว, ในคราวเดียว, ทั้งหมดในครั้งเดียว",一度にたくさん食べられません。,ฉันกินเยอะๆ ทีเดียวไม่ได้
市場,いちば,"market, bazaar",JLPT JLPT_2 JLPT_3,DBqN2uJ#li,"ตลาด, บาซาร์, ศูนย์การค้า, ค้าขาย",市場へ行きます。,ไปตลาด
いつか,いつか,"sometime, one day",JLPT JLPT_2 JLPT_3,FR_y9u}n#<,"สักวันหนึ่ง, วันใดวันหนึ่ง, เมื่อไหร่ก็ได้, ในอนาคต",いつか日本へ行きたいです。,สักวันหนึ่งอยากไปญี่ปุ่น
一家,いっか,"family, clan",JLPT JLPT_2 JLPT_3,l/wm^:qD$x,"ครอบครัว, ตระกูล, วงศ์ตระกูล, ครัวเรือน",一家で旅行します。,ไปเที่ยวกับทั้งครอบครัว
一種,いっしゅ,"a species, a kind, a variety",JLPT JLPT_2 JLPT_3,sn._eGR[}-,"ชนิด, ประเภท, สายพันธุ์, พันธุ์",これは一種の鳥です。,นี่เป็นนกชนิดหนึ่ง
一瞬,いっしゅん,"a moment, an instant",JLPT JLPT_2 JLPT_3,Qq!{_/r0wa,"ชั่วขณะหนึ่ง ช่วงเวลาหนึ่ง, ชั่วพริบตา, เสี้ยววินาที, ทันที",一瞬、音がしました。,มีเสียงดังขึ้นในชั่วพริบตา
一生,いっしょう,throughout (one's) life,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,AtHZ6K9AwM,"ตลอดชีวิต, ทั้งชีวิต, ชั่วชีวิต, ตลอดไป",一生勉強します。,จะเรียนรู้ไปตลอดชีวิต
一層,いっそう,"much more, still more",JLPT JLPT_2 JLPT_3,CjCbT!QO~},"มากยิ่งกว่านั้นอีก มากยิ่งกว่านั้นอีก, มากยิ่งขึ้น, เพิ่มขึ้นอีก, เป็นอย่างมาก",これは一層おいしいです。,อันนี้อร่อยยิ่งขึ้นไปอีก
一体,いったい,one object; body; what on earth?; generally,JLPT JLPT_2 JLPT_3,K?hP0<cU>&,"วัตถุหนึ่งชิ้น; ร่างกาย; อะไรกันเนี่ย?; โดยทั่วไป, ชิ้นเดียว, ส่วนเดียว, โดยรวม",一体どうしたんですか。,เกิดอะไรขึ้นกันแน่?
一致,いっち,agreement; conformity,JLPT JLPT_2 JLPT_3,ysxIQslQyD,"ข้อตกลง; ความสอดคล้อง, ความเห็นพ้อง, ความลงรอย, การเข้ากัน",二人の意見が一致しました。,ความเห็นของทั้งสองตรงกัน
いつでも,いつでも,"(at) any time, always",JLPT JLPT_2 JLPT_3,N>sX%eJi!w,"ในเวลาใดก็ได้เสมอ, ตลอดเวลา, ไม่ว่าเวลาไหน, เสมอๆ",いつでも来てください。,มาได้ตลอดเวลาเลยนะ
いつのまにか,いつのまにか,before one knows,JLPT JLPT_2 JLPT_3,D<V5f@i{!T,"ก่อนที่ใครจะรู้, โดยไม่รู้ตัว, โดยไม่ทันสังเกต, แอบๆ",いつの間にか寝ていました。,เผลอหลับไปโดยไม่รู้ตัว
一般,いっぱん,"general, average",JLPT JLPT_2 JLPT_3,mhggl5@LT?,"โดยทั่วไป เฉลี่ย, ปกติ, ทั่วไป, ส่วนใหญ่",一般の人々が集まりました。,ผู้คนทั่วไปมารวมตัวกัน
一方,いっぽう,on the other hand; meanwhile,JLPT JLPT_2 JLPT_3,ta7h-#VP%b,"ในทางกลับกัน; ในขณะเดียวกัน, อีกด้านหนึ่ง, อีกฝ่ายหนึ่ง, ในเวลาเดียวกัน",一方、彼は反対しました。,ในทางกลับกัน เขาคัดค้าน
いつまでも,いつまでも,"forever, for good, eternally",JLPT JLPT_2 JLPT_3,r@zE/Lc+82,"ตลอดไป ชั่วนิรันดร์, ตลอดกาล, นิรันดร, ไม่มีวันสิ้นสุด",いつまでも友達でいましょう。,เป็นเพื่อนกันตลอดไปนะ
移動,いどう,"migration, movement",JLPT JLPT_2 JLPT_3,yz:o#%V|;@,"การย้ายถิ่นฐาน การเคลื่อนย้าย, การโยกย้าย, การเคลื่อนที่, การย้าย",場所を移動します。,ย้ายที่
従兄弟,いとこ,cousin (male),JLPT JLPT_2 JLPT_3,CcBJPKt<s5,"ลูกพี่ลูกน้อง (เพศชาย), ญาติชาย, พี่น้องชาย, เครือญาติ",彼は私の従兄弟です。,เขาเป็นลูกพี่ลูกน้องของฉัน
従姉妹,いとこ,cousin (female),JLPT JLPT_2 JLPT_3,s78r`;/ON~,"ลูกพี่ลูกน้อง (หญิง), ญาติหญิง, พี่น้องหญิง, เครือญาติ",彼女は私の従姉妹です。,เธอเป็นลูกพี่ลูกน้องของฉัน
稲,いね,rice-plant,JLPT JLPT_2 JLPT_3,HQD[kKI--m,"ต้นข้าว, ข้าวเปลือก, พืชข้าว, ข้าว",稲が育っています。,ต้นข้าวเจริญเติบโตอยู่
居眠り,いねむり,"dozing, nodding off",JLPT JLPT_2 JLPT_3,p&}.agckN6,"ง่วงนอน งีบหลับ, สัปหงก, เคลิ้มหลับ, หลับใน",授業中に居眠りしました。,เผลอหลับในระหว่างเรียน
命,いのち,life,JLPT JLPT_2 JLPT_3,"z7V@a,~`Re","ชีวิต, ชีวา, สิ่งมีชีวิต, ความเป็นอยู่",命を大切にしてください。,โปรดรักษาสิ่งมีชีวิตไว้
違反,いはん,"violation (of law), infringement",JLPT JLPT_2 JLPT_3,jOqAs(GP-H,"การละเมิด (กฎหมาย) การฝ่าฝืน, การผิดกฎ, การแหกกฎ, การไม่ปฏิบัติตาม",ルール違反は許しません。,ไม่อนุญาตให้ละเมิดกฎ
衣服,いふく,clothes,JLPT JLPT_2 JLPT_3,pHoA66%Mk&,"เสื้อผ้า, เครื่องแต่งกาย, อาภรณ์, เครื่องนุ่งห่ม",新しい衣服を買いました。,ซื้อเสื้อผ้าใหม่
居間,いま,living room,JLPT JLPT_2 JLPT_3,G/@=.gt:M?,"ห้องนั่งเล่น, ห้องรับแขก, ห้องโถง, ห้องพักผ่อน",居間でテレビを見ます。,ดูทีวีในห้องนั่งเล่น
今に,いまに,"before long, soon",JLPT JLPT_2 JLPT_3,E1NlCS5^&;,"อีกไม่นานนี้, ในไม่ช้า, เร็วๆ นี้, เดี๋ยวนี้",今にわかるでしょう。,เดี๋ยวก็คงจะเข้าใจ
今にも,いまにも,"at any time, soon",JLPT JLPT_2 JLPT_3,Kiwg*7Fayc,"เมื่อใดก็ได้ เร็วๆ นี้, จะถึงอยู่แล้ว, ใกล้จะถึง, ทันทีทันใด",雨が今にも降りそうです。,ดูเหมือนฝนจะตกเดี๋ยวนี้แล้ว
イメージ,イメージ,one's image,JLPT JLPT_2 JLPT_3,m5PWtQuC8,"ภาพลักษณ์ของตนเอง, ภาพลักษณ์, ภาพพจน์, ลักษณะ",いいイメージを持っています。,มีความประทับใจที่ดี
否,いや,"no, the noes",JLPT JLPT_2 JLPT_3,t%b|d?y!x;,"ไม่ ไม่เลย, ปฏิเสธ, ไม่เห็นด้วย, ไม่ยอม",いいえ、違います。,ไม่ ใช่
以来,いらい,"since, henceforth",JLPT JLPT_2 JLPT_3,wKMM5>=Rhf,"นับจากนี้เป็นต้นไป, ตั้งแต่นั้นมา, หลังจากนี้, จากนี้ไป",昨日以来、元気です。,สบายดีนับตั้งแต่วานนี้
依頼,いらい,request; dependence,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"A,;GX*Z1pN","คำขอ; การพึ่งพา, การร้องขอ, การขอร้อง, การฝากฝัง",友達に依頼しました。,ขอความช่วยเหลือจากเพื่อน
いらいら,いらいら,"getting nervous, irritation",JLPT JLPT_2 JLPT_3,cX)s!En;S_,"รู้สึกประหม่า หงุดหงิด, รำคาญ, กระสับกระส่าย, ไม่สบายใจ",待って、いらいらしないで。,รอหน่อย อย่าหงุดหงิด
いらっしゃい,いらっしゃい,welcome,JLPT JLPT_2 JLPT_3,c2%8d/UU0k,"ยินดีต้อนรับ, เชิญ, มาเลย, ต้อนรับ",いらっしゃいませ！,ยินดีต้อนรับครับ/ค่ะ!
医療,いりょう,"medical care, medical treatment",JLPT JLPT_2 JLPT_3,kJzii8E*wG,"การดูแลทางการแพทย์ การรักษาทางการแพทย์, การแพทย์, เวชกรรม, สาธารณสุข",医療の進歩はすごいです。,ความก้าวหน้าทางการแพทย์น่าทึ่งมาก
岩,いわ,rock,JLPT JLPT_2 JLPT_3,G|eL<b]=]q,"หิน, ก้อนหิน, ศิลา, โขดหิน",大きな岩があります。,มีหินก้อนใหญ่อยู่
祝い,いわい,"celebration, festival",JLPT JLPT_2 JLPT_3,GZfmX5Jx8(,"งานเฉลิมฉลอง, เทศกาล, งานรื่นเริง, การฉลอง",お祝いのパーティーをします。,จะจัดงานเลี้ยงฉลอง
祝う,いわう,"to congratulate, to celebrate",JLPT JLPT_2 JLPT_3,X@UPs?&].,"เพื่อแสดงความยินดี เพื่อเฉลิมฉลอง, แสดงความยินดี, ฉลอง, ร่วมยินดี",誕生日を祝います。,ฉลองวันเกิด
言わば,いわば,so to speak,JLPT JLPT_2 JLPT_3,ISB~|Yz?TD,"พูดง่ายๆ ก็คือ, เรียกได้ว่า, เปรียบได้ดั่ง, เสมือนว่า",彼は、言わばチームのリーダーです。,เขาเรียกได้ว่าเป็นหัวหน้าทีม
いわゆる,いわゆる,"the so-called, so-to-speak",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,pIL=hHO-Je,"สิ่งที่เรียกกันว่า พูดได้ว่าอย่างนั้น, ที่เรียกกันว่า, ที่รู้จักกันในนาม, อันเป็นที่รู้จัก",いわゆる「エコ」について話します。,คุยกันเรื่องที่เรียกกันว่า 'อีโค'
インク,インク,ink,JLPT JLPT_2 JLPT_3,q1l^_2FS@C,"หมึก, น้ำหมึก, สีหมึก, หมึกพิมพ์",ペンにインクが入っています。,ปากกามีหมึกอยู่
印刷,いんさつ,printing,JLPT JLPT_2 JLPT_3,M!0uun/z}U,"การพิมพ์, การตีพิมพ์, การอัด, งานพิมพ์",この本はきれいに印刷されています。,หนังสือนี่พิมพ์ออกมาสวยงาม
印象,いんしょう,impression,JLPT JLPT_2 JLPT_3,Q*RbG8|1@p,"ความประทับใจ, ความรู้สึก, ความทรงจำ, รอยประทับ",いい印象を受けました。,ได้รับความประทับใจที่ดี
引退,いんたい,retirement,JLPT JLPT_2 JLPT_3,CiE>>/IlUa,"การเกษียณอายุ, การเกษียณ, การปลดเกษียณ, การออกจากงาน",彼は来年引退します。,เขาจะเกษียณในปีหน้า
インタビュー,インタビュー,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,Lr#jpXZo&{,"สัมภาษณ์, การสัมภาษณ์, การสนทนา, การสอบถาม",インタビューを受けました。,ได้รับการสัมภาษณ์
引用,いんよう,"quotation, citation",JLPT JLPT_2 JLPT_3,mgmTGyy@R!,"การอ้างอิง, การยกคำพูด, การอ้าง",本から引用しました。,คัดลอกมาจากหนังสือ
ウイスキー,ウイスキー,whiskey,JLPT JLPT_2 JLPT_3,pU);qhPs)v,"วิสกี้, เหล้าวิสกี้, สุราวิสกี้, น้ำเมา",ウイスキーを飲みました。,ดื่มวิสกี้
上,うわ,"upper, outer, surface",JLPT JLPT_2 JLPT_3,Alx@.Upj.V,"ด้านบน, ด้านนอก, พื้นผิว, ข้างบน",上は青いです。,ข้างบนเป็นสีฟ้า
魚,うお,fish,JLPT JLPT_2 JLPT_3,"OhV1B,p7lY","ปลา, สัตว์น้ำ, มัจฉา, ปลาชนิดต่างๆ",魚が好きです。,ชอบปลา
